subj,group,corr_mean,corrcl_mean,taskchoice_mean,taskchswi_mean,rtcor_mean,rtcorr_mean,forepcon_mean,forepincon_mean,foswicon_mean,foswiincon_mean,frrepcon_mean,frrepincon_mean,frswicon_mean,frswiincon_mean,err_mean,errforepcon_mean,errforepincon_mean,errfoswicon_mean,errfoswiincon_mean,errfrrepcon_mean,errfrrepincon_mean,errfrswicon_mean,errfrswiincon_mean,fibtaskchswi_mean,sebtaskchswi_mean,thbtaskchswi_mean,fobtaskchswi_mean,errfoconbyswi,baltaskswimean,BIS,BAS,BASr,BASd,BASf,filter_$
2,0,.659638554216867,.685897435897436,1,0,701.1375,678.803921568627,774,704,702.142857142857,680.555555555556,644.304347826087,677.576923076923,668.333333333333,653.625,.240566037735849,.222222222222222,.294117647058824,.347826086956522,.545454545454545,.225806451612903,.228571428571429,.15625,.0588235294117647,0,0,0,0,.125733033661422,0,13,42,15,13,14,0
4,0,.966867469879518,.974358974358974,.911392405063291,.126666666666667,960.847972972973,915.065972222222,856.486486486486,1013.60606060606,974.176470588235,1103,848.138888888889,862.75,857.394736842105,826.236842105263,.0263157894736842,.0256410256410256,.0277777777777778,.0277777777777778,.0769230769230769,.027027027027027,.0256410256410256,0,0,.0833333333333333,0,.256410256410256,.153846153846154,.047008547008547,.123397435897436,24,43,16,12,15,1
6,0,.993975903614458,1,.69375,.397435897435897,1328.37179487179,1266.56810631229,1165.70588235294,1283.43243243243,1273.20512820513,1170.10526315789,1275.42105263158,1387.48717948718,1259.28947368421,1304.36842105263,0,0,0,0,0,0,0,0,0,.41025641025641,.41025641025641,.461538461538462,.307692307692308,0,.397435897435897,22,38,15,13,10,1
8,0,.88855421686747,.919871794871795,.304635761589404,.253846153846154,1386.50378787879,1308.61089494163,1081.59375,1225.1875,1271.875,1493.69230769231,1432.66666666667,1332.31428571429,1253.42857142857,1411.90625,.0736842105263158,.0303030303030303,.0833333333333333,.0540540540540541,.1875,.0285714285714286,.027027027027027,.0769230769230769,.111111111111111,0,.272727272727273,.194444444444444,.472222222222222,.0804156429156429,.234848484848485,22,41,16,12,13,1
10,0,.936746987951807,.942307692307692,.668831168831169,.335714285714286,1058.28158844765,1007.21641791045,1092.66666666667,1061.625,1132,1093.22580645161,1044.91666666667,896.606060606061,849.228571428571,912.833333333333,.0610169491525424,.108108108108108,.0555555555555556,.111111111111111,.0571428571428571,.0256410256410256,.0810810810810811,.0277777777777778,.0256410256410256,.542857142857143,.5,.114285714285714,.194444444444444,-.0014157014157014,.337896825396825,26,37,15,11,11,1
12,0,.984939759036145,.990384615384615,.525,.512820512820513,1266.40196078431,1202.53559322034,1143.4358974359,1056.24242424242,1180.81578947368,1268.02777777778,1144.92105263158,1330.84615384615,1154.82857142857,1322.94594594595,.00970873786407767,.025,0,0,.0512820512820513,0,0,0,0,.461538461538462,.58974358974359,.435897435897436,.564102564102564,.0762820512820513,.512820512820513,19,37,17,10,10,1
14,0,.936746987951807,.942307692307692,.333333333333333,.385185185185185,1227.29032258065,1115.65037593985,754.058823529412,853.290322580645,885.636363636364,845,1379,1340.9696969697,1361.47222222222,1444.14705882353,.0510204081632653,.0526315789473684,.0857142857142857,.027027027027027,.0857142857142857,.0540540540540541,.0526315789473684,.0263157894736842,.0277777777777778,.392857142857143,.416666666666667,.342857142857143,.388888888888889,.0256045519203414,.38531746031746,23,40,17,12,11,1
16,0,.939759036144578,.939102564102564,.509803921568627,.54014598540146,1080.63405797101,1027.66914498141,923.527777777778,991.764705882353,1117.42424242424,1050.07692307692,977.147058823529,1086.48484848485,1049.60606060606,1039.625,.0644067796610169,.027027027027027,.0277777777777778,.0555555555555556,.222222222222222,.0540540540540541,.0810810810810811,.0555555555555556,0,.611111111111111,.545454545454545,.516129032258065,.486486486486487,.165915915915916,.539795293827552,26,48,18,16,14,1
18,0,.936746987951807,.935897435897436,.647058823529412,.470588235294118,753.147058823529,719.171102661597,693.266666666667,670.8,755.9,728.612903225806,703.794117647059,744.162162162162,746.205882352941,711.5,.0684931506849315,.0606060606060606,.0526315789473684,.111111111111111,.138888888888889,.0540540540540541,0,.0526315789473684,.0833333333333333,.424242424242424,.527777777777778,.419354838709677,.5,.03575225943647,.46784376018247,16,46,18,14,14,1
20,0,.719879518072289,.727564102564103,.701754385964912,.321428571428571,788.304347826087,770.789808917197,635.714285714286,686.190476190476,596,730.833333333333,849.304347826087,947,860.285714285714,878.3,.28125,.241379310344828,.185185185185185,.344827586206897,.357142857142857,.206896551724138,.423076923076923,.192307692307692,.3,.357142857142857,.272727272727273,.416666666666667,.263157894736842,.068509396095603,.32742367281841,26,37,17,9,11,0
22,0,.867469879518072,.875,.74468085106383,.256880733944954,1072.42307692308,1015.66666666667,1069.44444444444,1062.28,880.2,1071.46428571429,934.911764705882,1079.31034482759,962.724137931035,1074.32142857143,.136531365313653,.205882352941176,.235294117647059,.103448275862069,.138888888888889,.105263157894737,.0909090909090909,.0909090909090909,.117647058823529,.25,.32258064516129,.25,.2,.00602884832093757,.255645161290323,22,42,17,15,10,1
24,0,.966867469879518,.983974358974359,.490445859872611,.385135135135135,1082.96666666667,1034.67123287671,929.694444444444,958.27027027027,1134,1141.68571428571,1053.83783783784,1022.35135135135,1045.22222222222,995.540540540541,.0163934426229508,0,0,.0256410256410256,.0540540540540541,0,.0263157894736842,.0256410256410256,0,.382352941176471,.461538461538462,.361111111111111,.333333333333333,.0284130284130284,.384583961789844,18,41,16,15,10,1
26,0,.80421686746988,.810897435897436,.616541353383459,.456521739130435,1013.43689320388,938.64824120603,897.166666666667,773.083333333333,849.333333333333,971.619047619048,1026.95454545455,1009.80769230769,968.214285714286,998.633333333333,.179282868525896,.166666666666667,.193548387096774,.1875,.275862068965517,.206896551724138,.15625,.147058823529412,.117647058823529,.470588235294118,.454545454545455,.485714285714286,.413793103448276,.0614803485354097,.456160269750533,25,40,17,13,10,1
28,0,.783132530120482,.798076923076923,.979865771812081,.008,949.592920353982,880.683720930233,881.55,931.681818181818,881.681818181818,902.272727272727,846.625,863.882352941176,867.714285714286,891.771428571429,.096,.185185185185185,.0416666666666667,.0416666666666667,.206896551724138,.0857142857142857,.0277777777777778,.189189189189189,0,0,.032258064516129,0,0,.30874840357599,.00806451612903226,20,42,15,14,13,0
30,0,.825301204819277,.82051282051282,.493421052631579,.428571428571429,1314.00414937759,1266.03418803419,1457.66666666667,1347.76,1507,1842.96153846154,1066.16216216216,1181,1060.77142857143,954.060606060606,.05859375,.0740740740740741,.166666666666667,0,.037037037037037,0,.0882352941176471,.0526315789473684,.0540540540540541,.40625,.424242424242424,.527777777777778,.34375,-.0555555555555556,.425505050505051,23,38,15,13,10,1
