Subject	Choice.RT	Mode	RewN	RSeq	Target.ACC	Target.RT	Task	TaskChoice	Transition	Trialnr
1		Baseline			1	448	A1	Zahlen	NaN	1
1	518	Baseline			1	519	A2	Buchstaben	s	2
1	362	Baseline			1	649	A1	Zahlen	s	3
1	276	Baseline			1	567	A1	Zahlen	r	4
1	294	Baseline			1	545	A1	Zahlen	r	5
1	578	Baseline			1	561	A2	Buchstaben	s	6
1	345	Baseline			1	489	A2	Buchstaben	r	7
1	323	Baseline			1	492	A2	Buchstaben	r	8
1	800	Baseline			1	581	A2	Buchstaben	r	9
1	410	Baseline			0	592	A1	Zahlen	s	10
1	410	Baseline			1	568	A1	Zahlen	r	11
1	305	Baseline			1	476	A1	Zahlen	r	12
1	273	Baseline			1	500	A2	Buchstaben	s	13
1	285	Baseline			1	488	A1	Zahlen	s	14
1	329	Baseline			1	474	A1	Zahlen	r	15
1	291	Baseline			1	430	A1	Zahlen	r	16
1	272	Baseline			1	508	A2	Buchstaben	s	17
1	259	Baseline			1	471	A2	Buchstaben	r	18
1	131	Baseline			1	581	A1	Zahlen	s	19
1	516	Baseline			1	565	A1	Zahlen	r	20
1	274	Baseline			1	533	A2	Buchstaben	s	21
1	556	Baseline			1	699	A1	Zahlen	s	22
1	357	Baseline			1	565	A2	Buchstaben	s	23
1	330	Baseline			1	491	A1	Zahlen	s	24
1	311	Baseline			1	697	A1	Zahlen	r	25
1	314	Baseline			1	451	A1	Zahlen	r	26
1	246	Baseline			1	611	A2	Buchstaben	s	27
1	256	Baseline			1	532	A2	Buchstaben	r	28
1	339	Baseline			1	548	A1	Zahlen	s	29
1	259	Baseline			1	687	A1	Zahlen	r	30
1	273	Baseline			1	500	A2	Buchstaben	s	31
1	311	Baseline			1	705	A1	Zahlen	s	32
1	364	Baseline			1	523	A2	Buchstaben	s	33
1	389	Baseline			1	508	A2	Buchstaben	r	34
1	507	Baseline			1	844	A1	Zahlen	s	35
1	392	Baseline			1	662	A1	Zahlen	r	36
1	506	Baseline			1	451	A2	Buchstaben	s	37
1	278	Baseline			1	506	A1	Zahlen	s	38
1	300	Baseline			1	502	A2	Buchstaben	s	39
1	432	Baseline			1	469	A2	Buchstaben	r	40
1	471	Baseline			1	538	A1	Zahlen	s	41
1	523	Baseline			1	523	A1	Zahlen	r	42
1	326	Baseline			1	663	A1	Zahlen	r	43
1	337	Baseline			1	530	A2	Buchstaben	s	44
1	353	Baseline			1	561	A1	Zahlen	s	45
1	303	Baseline			1	1001	A2	Buchstaben	s	46
1	429	Baseline			1	538	A2	Buchstaben	r	47
1	305	Baseline			1	508	A2	Buchstaben	r	48
1	308	Baseline			1	438	A2	Buchstaben	r	49
1	396	Baseline			1	538	A2	Buchstaben	r	50
1	265	Baseline			1	501	A1	Zahlen	s	51
1	294	Baseline			1	497	A1	Zahlen	r	52
1	233	Baseline			1	511	A1	Zahlen	r	53
1	248	Baseline			1	565	A2	Buchstaben	s	54
1	355	Baseline			1	595	A1	Zahlen	s	55
1	345	Baseline			1	601	A2	Buchstaben	s	56
1	448	Baseline			1	564	A2	Buchstaben	r	57
1	321	Baseline			1	474	A1	Zahlen	s	58
1	301	Baseline			0	623	A2	Buchstaben	s	59
1	403	Baseline			1	497	A2	Buchstaben	r	60
1	1201	Baseline			1	653	A2	Buchstaben	r	61
1	256	Baseline			1	884	A1	Zahlen	s	62
1	1100	Baseline			1	533	A2	Buchstaben	s	63
1	315	Baseline			1	509	A2	Buchstaben	r	64
1	320	Baseline			1	554	A2	Buchstaben	r	65
1	466	Baseline			1	702	A1	Zahlen	s	66
1	304	Baseline			1	498	A1	Zahlen	r	67
1	243	Baseline			1	520	A1	Zahlen	r	68
1	346	Baseline			1	642	A2	Buchstaben	s	69
1	366	Baseline			1	613	A2	Buchstaben	r	70
1	417	Baseline			1	647	A1	Zahlen	s	71
1	372	Baseline			1	579	A2	Buchstaben	s	72
1	795	Baseline			1	632	A2	Buchstaben	r	73
1	259	Baseline			1	567	A1	Zahlen	s	74
1	276	Baseline			1	503	A2	Buchstaben	s	75
1	394	Baseline			1	512	A1	Zahlen	s	76
1	360	Baseline			1	560	A2	Buchstaben	s	77
1	382	Baseline			1	525	A2	Buchstaben	r	78
1	356	Baseline			1	532	A2	Buchstaben	r	79
1	270	Baseline			1	506	A1	Zahlen	s	80
1	556	Baseline			1	532	A2	Buchstaben	s	81
1	555	Baseline			1	811	A2	Buchstaben	r	82
1	304	Baseline			1	547	A2	Buchstaben	r	83
1	248	Baseline			1	749	A1	Zahlen	s	84
