subj	block	trial	task_cue	task	choice_resp	choiceRT	choice_acc	topnum	topsize	botnum	botsize	cong	task_resp	taskRT	task_acc	RSI	CSI	altRep	E1
184	1	1	P	P	d	1076.14	1	8	56	4	24	c	j	543.56	1	1000	1000	-1	0
184	1	2	N	N	f	915.92	0	8	24	2	56	i	j	741.51	1	1000	1000	1	0
184	1	3	N	N	f	1398.05	0	7	56	4	24	c	j	998.79	1	100	1000	0	0
184	1	4	P	P	d	965.31	1	3	24	7	56	c	n	954.34	1	1000	1000	1	0
184	1	5	N	N	f	886.8	0	7	24	4	56	i	j	741.47	1	1000	100	1	0
184	1	6	P	P	d	677.89	1	3	24	7	56	c	n	682.38	1	1000	100	1	0
184	1	7	P	P	d	911.07	1	7	56	4	24	c	j	634.85	1	100	1000	0	0
184	1	8	P	P	d	895.8	1	2	24	7	56	c	n	423.51	1	1000	1000	0	0
184	1	9	P	P	d	867.86	1	8	24	3	56	i	n	963.94	1	100	1000	0	0
184	1	10	P	P	d	796.46	1	7	24	4	56	i	n	1144.83	1	100	100	0	0
184	1	11	P	P	d	679.38	1	7	56	2	24	c	j	740.17	1	1000	100	0	0
184	1	12	P	P	d	833.99	1	3	24	7	56	c	n	450.69	1	100	1000	0	0
184	1	13	N	N	f	832.81	0	9	56	4	24	c	j	596.02	1	1000	1000	1	0
184	1	14	N	N	f	828.17	0	8	56	3	24	c	j	625.73	1	1000	100	0	0
184	1	15	P	P	d	1095.56	1	2	56	9	24	i	j	997.38	1	100	100	1	0
184	1	16	N	N	f	773.5	0	7	24	4	56	i	j	1137.11	1	100	1000	1	0
184	1	17	N	N	f	639.06	0	3	56	8	24	i	n	653.73	1	1000	100	0	0
184	1	18	N	N	f	954.39	0	7	56	2	24	c	j	808.83	1	1000	1000	0	0
184	1	19	P	P	d	893.11	1	4	56	7	24	i	j	2635.92	1	100	1000	1	0
184	1	20	P	P	d	810.11	1	3	56	9	24	i	j	894.06	1	1000	100	0	0
184	1	21	N	N	f	713.74	0	8	56	4	24	c	j	796.57	1	1000	100	1	0
184	1	22	N	N	f	525.05	0	8	24	3	56	i	j	1297.03	1	1000	1000	0	0
184	1	23	N	N	f	727.25	0	9	24	2	56	i	j	894.43	1	1000	100	0	0
184	1	24	N	N	f	714.96	0	3	56	7	24	i	n	1055.55	1	100	1000	0	0
184	1	25	N	N	f	1091.19	0	4	24	8	56	c	n	723.1	1	1000	100	0	0
184	1	26	N	N	f	773.13	0	8	24	3	56	i	j	980.63	1	100	100	0	0
184	1	27	N	N	f	683.97	0	7	56	4	24	c	j	833.8	1	100	100	0	0
184	1	28	P	P	d	754.89	1	7	24	3	56	i	n	540.54	1	100	100	1	0
184	1	29	P	P	d	508.82	1	2	56	7	24	i	j	1240.71	1	100	1000	0	0
184	1	30	P	P	d	687.34	1	7	24	3	56	i	n	944.09	1	1000	100	0	0
184	1	31	P	P	d	1242.42	1	4	56	7	24	i	j	487.63	1	1000	1000	0	0
184	1	32	N	N	f	1348.09	0	3	56	9	24	i	n	797.43	1	1000	100	1	0
184	1	33	N	N	f	537.82	0	2	24	9	56	c	n	573.71	1	100	100	0	0
184	1	34	P	P	d	789.58	1	3	56	8	24	i	j	720.19	1	1000	1000	1	0
184	1	35	N	N	f	1033.79	0	7	56	4	24	c	j	956.36	1	100	1000	1	0
184	1	36	N	N	f	923.79	0	2	24	9	56	c	n	1160.13	1	100	1000	0	0
184	1	37	N	N	f	1378.38	0	7	24	4	56	i	j	939.08	1	100	1000	0	0
184	1	38	P	P	d	866.58	1	9	56	3	24	c	j	483.16	1	100	1000	1	0
184	1	39	P	P	d	777.9	1	2	56	9	24	i	j	1693.38	1	100	100	0	0
184	1	40	P	P	d	622.22	1	9	24	4	56	i	n	2486.55	1	1000	1000	0	0
184	1	41	N	N	f	1014.16	0	8	56	2	24	c	j	583.55	1	100	100	1	0
184	1	42	P	P	f	641.97	1	4	24	9	56	c	n	1532.93	1	100	1000	1	0
184	1	43	P	P	d	2598.5	1	9	56	2	24	c	j	1415.04	1	100	100	0	0
184	1	44	N	N	f	897.65	0	3	24	9	56	c	n	2011.19	1	100	1000	1	0
184	1	45	P	P	d	892.52	1	9	24	2	56	i	n	1489.99	1	1000	100	1	0
184	1	46	N	N	f	1001.24	0	3	24	7	56	c	n	1767.21	1	1000	1000	1	0
184	1	47	P	P	d	663.96	1	8	24	4	56	i	n	1189.63	1	100	1000	1	0
184	1	48	N	N	f	753.13	0	3	56	9	24	i	n	1944.47	1	1000	1000	1	0
184	1	49	P	P	d	2096.68	1	7	56	2	24	c	j	1108.76	1	1000	1000	1	0
184	1	50	P	P	d	1768.41	1	9	56	4	24	c	j	1047.21	1	1000	1000	0	0
184	1	51	N	N	f	750.27	0	2	24	9	56	c	n	551.54	1	1000	100	1	0
184	1	52	P	P	d	796.38	1	3	24	8	56	c	n	930.78	1	100	100	1	0
184	1	53	N	N	f	593.76	0	9	24	4	56	i	j	749.22	1	100	100	1	0
184	1	54	N	N	f	753.26	0	2	56	8	24	i	n	854.07	1	100	100	0	0
184	1	55	N	N	f	728.95	0	3	24	9	56	c	n	535.47	1	1000	1000	0	0
184	1	56	P	P	d	796.75	1	7	56	2	24	c	j	1009.68	1	100	100	1	0
184	1	57	N	N	f	1197.54	0	4	56	8	24	i	n	1032.36	1	100	100	1	0
184	1	58	P	P	d	775.12	1	7	24	3	56	i	j	1746.93	0	1000	1000	1	0
184	1	59	N	N	f	5148.83	0	4	24	9	56	c	n	1018.17	1	100	100	1	1
184	1	60	P	P	d	602.76	1	9	56	3	24	c	j	583.1	1	1000	100	1	0
184	1	61	P	P	d	799.7	1	4	24	7	56	c	n	607.88	1	100	100	0	0
184	1	62	N	N	f	734.05	0	3	56	9	24	i	n	1008.13	1	100	1000	1	0
184	1	63	N	N	f	598.12	0	2	56	7	24	i	n	1449.48	1	1000	1000	0	0
184	1	64	P	P	d	707.33	1	3	56	8	24	i	j	2984.44	1	1000	100	1	0
184	1	65	P	P	d	808.19	1	2	24	9	56	c	n	475.42	1	1000	100	0	0
184	2	1	N	N	f	1530.33	0	2	56	7	24	i	n	997.65	1	100	100	-1	0
184	2	2	N	N	f	605.69	0	7	56	3	24	c	j	1013.92	1	100	100	0	0
