subj	block	trial	task_cue	task	choice_resp	choiceRT	choice_acc	topnum	topsize	botnum	botsize	cong	task_resp	taskRT	task_acc	RSI	CSI	altRep	E1
128	1	1	N	N	d	836.65	0	7	24	4	56	i	j	2471.4	1	1000	1000	-1	0
128	1	2	P	P	f	1020.18	1	7	56	2	24	c	j	2237.5	1	1000	1000	1	0
128	1	3	P	P	f	1186.55	1	9	56	4	24	c	j	1235.92	1	100	100	0	0
128	1	4	N	N	d	819.63	0	3	24	7	56	c	n	1870.67	1	1000	1000	1	0
128	1	5	P	P	f	1269.09	1	2	56	8	24	i	j	1370.13	1	100	1000	1	0
128	1	6	P	P	f	801.89	1	7	56	3	24	c	j	1019.71	1	1000	1000	0	0
128	1	7	N	N	d	1769.63	0	8	56	2	24	c	j	1152.99	1	100	100	1	0
128	1	8	P	P	f	903.12	1	4	24	9	56	c	n	1369.66	1	1000	100	1	0
128	1	9	P	P	f	786.0	1	9	24	3	56	i	n	1185.88	1	1000	1000	0	0
128	1	10	N	N	d	869.68	0	2	56	8	24	i	n	2020.95	1	1000	100	1	0
128	1	11	N	N	d	886.56	0	3	24	7	56	c	n	1370.09	1	100	1000	0	0
128	1	12	P	P	f	1102.99	1	9	24	4	56	i	n	2254.47	1	100	1000	1	0
128	1	13	N	N	d	919.45	0	3	56	8	24	i	n	1403.59	1	100	100	1	0
128	1	14	P	P	f	935.91	1	4	24	9	56	c	n	4740.24	1	1000	1000	1	0
128	1	15	P	P	f	1269.81	1	2	56	9	24	i	j	2121.42	1	100	1000	0	0
128	1	16	P	P	f	752.95	1	4	56	9	24	i	j	1370.17	1	1000	100	0	0
128	1	17	N	N	d	952.76	0	9	24	2	56	i	j	2120.62	1	1000	1000	1	0
128	1	18	P	P	f	702.96	1	9	56	3	24	c	j	886.41	1	1000	100	1	0
128	1	19	N	N	d	953.5	0	9	24	4	56	i	j	1486.41	1	100	100	1	0
128	1	20	P	P	f	786.09	1	9	56	3	24	c	j	1286.57	1	100	1000	1	0
128	1	21	P	P	f	718.15	1	4	24	8	56	c	n	902.83	1	1000	100	0	0
128	1	22	P	P	f	1202.93	1	9	24	2	56	i	n	1953.87	1	100	1000	0	0
128	1	23	N	N	d	1269.17	0	9	24	3	56	i	j	1635.52	1	1000	100	1	0
128	1	24	P	P	f	969.55	1	2	24	8	56	c	n	1436.93	1	100	100	1	0
128	1	25	N	N	d	819.63	0	8	56	3	24	c	j	1152.95	1	1000	100	1	0
128	1	26	P	P	f	1954.09	1	4	56	7	24	i	j	3071.71	1	100	100	1	0
128	1	27	N	N	d	703.03	0	3	24	8	56	c	n	986.3	1	1000	100	1	0
128	1	28	P	P	f	1136.93	1	8	56	2	24	c	j	2404.18	1	100	100	1	0
128	1	29	P	P	f	1019.78	1	8	24	4	56	i	n	1553.69	1	100	100	0	0
128	1	30	N	N	d	1086.26	0	2	24	8	56	c	n	2636.6	1	100	100	1	0
128	1	31	N	N	d	836.25	0	7	56	3	24	c	j	952.84	1	1000	1000	0	0
128	1	32	N	N	d	719.33	0	7	56	4	24	c	j	1002.98	1	1000	100	0	0
128	1	33	N	N	d	952.89	0	3	56	9	24	i	n	3622.3	1	1000	1000	0	0
128	1	34	P	P	f	885.85	1	2	24	8	56	c	n	2186.92	1	100	1000	1	0
128	1	35	P	P	f	1220.28	1	3	24	9	56	c	n	2487.97	1	1000	1000	0	0
128	1	36	P	P	f	834.77	1	2	56	8	24	i	j	1954.01	1	100	100	0	0
128	1	37	P	P	f	752.84	1	3	56	8	24	i	j	1303.62	1	1000	1000	0	0
128	1	38	P	P	f	936.38	1	8	56	4	24	c	j	853.05	1	100	1000	0	0
128	1	39	N	N	d	734.44	0	2	24	7	56	c	n	1486.82	1	100	1000	1	0
128	1	40	N	N	d	769.27	0	7	56	3	24	c	j	935.96	1	100	100	0	0
128	1	41	N	N	d	735.82	0	4	56	7	24	i	j	1069.77	0	100	100	0	0
128	1	42	N	N	d	368.75	0	3	24	7	56	c	n	819.53	1	1000	100	0	1
128	1	43	N	N	d	368.94	0	4	56	8	24	i	j	869.77	0	1000	100	0	0
128	1	44	N	N	d	502.27	0	2	56	8	24	i	j	785.95	0	100	1000	0	1
128	1	45	P	P	f	752.65	1	7	24	4	56	i	n	3873.79	1	100	100	1	1
128	1	46	N	N	d	785.85	0	3	56	9	24	i	n	902.75	1	100	1000	1	0
128	1	47	P	P	f	702.41	1	9	24	2	56	i	n	819.61	1	1000	1000	1	0
128	1	48	N	N	d	686.02	0	8	56	4	24	c	j	869.81	1	100	1000	1	0
128	1	49	N	N	d	535.7	0	8	56	2	24	c	j	851.36	1	100	1000	0	0
128	1	50	N	N	d	468.65	0	8	24	3	56	i	j	1069.68	1	100	1000	0	0
128	1	51	P	P	f	803.32	1	2	56	9	24	i	j	969.62	1	1000	100	1	0
