"subj" "trialCumul" "sr" "exp"
"4" 42 1 "Braem 50/50"
"4" 43 0 "Braem 50/50"
"4" 44 1 "Braem 50/50"
"4" 45 0 "Braem 50/50"
"4" 46 1 "Braem 50/50"
"4" 47 0 "Braem 50/50"
"4" 48 0 "Braem 50/50"
"4" 49 0 "Braem 50/50"
"4" 50 0 "Braem 50/50"
"4" 51 0 "Braem 50/50"
"4" 52 0 "Braem 50/50"
"4" 53 0 "Braem 50/50"
"4" 54 0 "Braem 50/50"
"4" 55 0 "Braem 50/50"
"4" 56 0 "Braem 50/50"
"4" 57 0 "Braem 50/50"
"4" 58 0 "Braem 50/50"
"4" 59 0 "Braem 50/50"
"4" 63 0 "Braem 50/50"
"4" 64 0 "Braem 50/50"
"4" 65 0 "Braem 50/50"
"4" 66 0 "Braem 50/50"
"4" 67 0 "Braem 50/50"
"4" 68 0 "Braem 50/50"
"4" 69 0 "Braem 50/50"
"4" 70 0 "Braem 50/50"
"4" 71 0 "Braem 50/50"
"4" 72 0 "Braem 50/50"
"4" 73 0 "Braem 50/50"
"4" 74 0 "Braem 50/50"
"4" 75 0 "Braem 50/50"
"4" 76 0 "Braem 50/50"
"4" 77 0 "Braem 50/50"
"4" 78 0 "Braem 50/50"
"4" 79 0 "Braem 50/50"
"4" 80 0 "Braem 50/50"
"4" 122 0 "Braem 50/50"
"4" 123 0 "Braem 50/50"
"4" 124 0 "Braem 50/50"
"4" 125 0 "Braem 50/50"
"4" 126 0 "Braem 50/50"
"4" 127 0 "Braem 50/50"
"4" 128 0 "Braem 50/50"
"4" 129 0 "Braem 50/50"
"4" 130 0 "Braem 50/50"
"4" 131 0 "Braem 50/50"
"4" 132 0 "Braem 50/50"
"4" 133 0 "Braem 50/50"
"4" 134 0 "Braem 50/50"
"4" 135 0 "Braem 50/50"
"4" 136 0 "Braem 50/50"
"4" 137 0 "Braem 50/50"
"4" 138 0 "Braem 50/50"
"4" 139 0 "Braem 50/50"
"4" 140 0 "Braem 50/50"
