"subj" "trialCumul" "sr" "exp"
"10" 2 1 "Frober E1 Vol First 64 trials"
"10" 3 1 "Frober E1 Vol First 64 trials"
"10" 4 1 "Frober E1 Vol First 64 trials"
"10" 5 1 "Frober E1 Vol First 64 trials"
"10" 6 0 "Frober E1 Vol First 64 trials"
"10" 7 1 "Frober E1 Vol First 64 trials"
"10" 8 0 "Frober E1 Vol First 64 trials"
"10" 9 1 "Frober E1 Vol First 64 trials"
"10" 10 0 "Frober E1 Vol First 64 trials"
"10" 11 1 "Frober E1 Vol First 64 trials"
"10" 12 0 "Frober E1 Vol First 64 trials"
"10" 14 1 "Frober E1 Vol First 64 trials"
"10" 15 0 "Frober E1 Vol First 64 trials"
"10" 16 1 "Frober E1 Vol First 64 trials"
"10" 17 0 "Frober E1 Vol First 64 trials"
"10" 18 1 "Frober E1 Vol First 64 trials"
"10" 19 0 "Frober E1 Vol First 64 trials"
"10" 20 1 "Frober E1 Vol First 64 trials"
"10" 21 1 "Frober E1 Vol First 64 trials"
"10" 22 0 "Frober E1 Vol First 64 trials"
"10" 24 0 "Frober E1 Vol First 64 trials"
"10" 26 0 "Frober E1 Vol First 64 trials"
"10" 27 1 "Frober E1 Vol First 64 trials"
"10" 28 0 "Frober E1 Vol First 64 trials"
"10" 29 1 "Frober E1 Vol First 64 trials"
"10" 30 0 "Frober E1 Vol First 64 trials"
"10" 31 1 "Frober E1 Vol First 64 trials"
"10" 32 0 "Frober E1 Vol First 64 trials"
"10" 33 1 "Frober E1 Vol First 64 trials"
"10" 34 0 "Frober E1 Vol First 64 trials"
"10" 35 1 "Frober E1 Vol First 64 trials"
"10" 36 0 "Frober E1 Vol First 64 trials"
"10" 37 1 "Frober E1 Vol First 64 trials"
"10" 38 0 "Frober E1 Vol First 64 trials"
"10" 39 1 "Frober E1 Vol First 64 trials"
"10" 40 0 "Frober E1 Vol First 64 trials"
"10" 41 1 "Frober E1 Vol First 64 trials"
"10" 43 0 "Frober E1 Vol First 64 trials"
"10" 44 1 "Frober E1 Vol First 64 trials"
"10" 45 0 "Frober E1 Vol First 64 trials"
"10" 46 1 "Frober E1 Vol First 64 trials"
"10" 47 1 "Frober E1 Vol First 64 trials"
"10" 48 0 "Frober E1 Vol First 64 trials"
"10" 49 1 "Frober E1 Vol First 64 trials"
"10" 50 0 "Frober E1 Vol First 64 trials"
"10" 51 1 "Frober E1 Vol First 64 trials"
"10" 52 0 "Frober E1 Vol First 64 trials"
"10" 53 1 "Frober E1 Vol First 64 trials"
"10" 54 1 "Frober E1 Vol First 64 trials"
"10" 55 0 "Frober E1 Vol First 64 trials"
"10" 56 1 "Frober E1 Vol First 64 trials"
"10" 57 0 "Frober E1 Vol First 64 trials"
"10" 58 0 "Frober E1 Vol First 64 trials"
"10" 59 1 "Frober E1 Vol First 64 trials"
"10" 60 0 "Frober E1 Vol First 64 trials"
"10" 61 1 "Frober E1 Vol First 64 trials"
"10" 62 0 "Frober E1 Vol First 64 trials"
"10" 63 1 "Frober E1 Vol First 64 trials"
"10" 64 0 "Frober E1 Vol First 64 trials"
"11" 2 0 "Frober E1 Vol First 64 trials"
"11" 3 1 "Frober E1 Vol First 64 trials"
"11" 4 0 "Frober E1 Vol First 64 trials"
"11" 5 1 "Frober E1 Vol First 64 trials"
"11" 6 0 "Frober E1 Vol First 64 trials"
"11" 7 0 "Frober E1 Vol First 64 trials"
"11" 8 1 "Frober E1 Vol First 64 trials"
"11" 10 1 "Frober E1 Vol First 64 trials"
"11" 11 1 "Frober E1 Vol First 64 trials"
"11" 12 0 "Frober E1 Vol First 64 trials"
"11" 13 1 "Frober E1 Vol First 64 trials"
"11" 14 0 "Frober E1 Vol First 64 trials"
"11" 15 1 "Frober E1 Vol First 64 trials"
"11" 16 1 "Frober E1 Vol First 64 trials"
"11" 17 1 "Frober E1 Vol First 64 trials"
"11" 18 0 "Frober E1 Vol First 64 trials"
"11" 19 1 "Frober E1 Vol First 64 trials"
"11" 20 0 "Frober E1 Vol First 64 trials"
"11" 21 1 "Frober E1 Vol First 64 trials"
"11" 22 1 "Frober E1 Vol First 64 trials"
"11" 23 0 "Frober E1 Vol First 64 trials"
"11" 24 0 "Frober E1 Vol First 64 trials"
"11" 25 0 "Frober E1 Vol First 64 trials"
"11" 26 1 "Frober E1 Vol First 64 trials"
"11" 27 1 "Frober E1 Vol First 64 trials"
"11" 28 0 "Frober E1 Vol First 64 trials"
"11" 29 0 "Frober E1 Vol First 64 trials"
"11" 30 1 "Frober E1 Vol First 64 trials"
"11" 31 0 "Frober E1 Vol First 64 trials"
"11" 32 1 "Frober E1 Vol First 64 trials"
"11" 33 0 "Frober E1 Vol First 64 trials"
"11" 34 1 "Frober E1 Vol First 64 trials"
"11" 35 0 "Frober E1 Vol First 64 trials"
"11" 37 1 "Frober E1 Vol First 64 trials"
"11" 39 0 "Frober E1 Vol First 64 trials"
"11" 40 1 "Frober E1 Vol First 64 trials"
"11" 41 0 "Frober E1 Vol First 64 trials"
"11" 42 1 "Frober E1 Vol First 64 trials"
"11" 43 1 "Frober E1 Vol First 64 trials"
"11" 44 0 "Frober E1 Vol First 64 trials"
"11" 45 1 "Frober E1 Vol First 64 trials"
"11" 46 0 "Frober E1 Vol First 64 trials"
"11" 47 1 "Frober E1 Vol First 64 trials"
"11" 49 1 "Frober E1 Vol First 64 trials"
"11" 50 0 "Frober E1 Vol First 64 trials"
"11" 51 1 "Frober E1 Vol First 64 trials"
"11" 52 0 "Frober E1 Vol First 64 trials"
"11" 53 1 "Frober E1 Vol First 64 trials"
"11" 54 0 "Frober E1 Vol First 64 trials"
"11" 55 1 "Frober E1 Vol First 64 trials"
"11" 56 0 "Frober E1 Vol First 64 trials"
"11" 57 1 "Frober E1 Vol First 64 trials"
"11" 58 1 "Frober E1 Vol First 64 trials"
"11" 59 0 "Frober E1 Vol First 64 trials"
"11" 60 0 "Frober E1 Vol First 64 trials"
"11" 61 0 "Frober E1 Vol First 64 trials"
"11" 62 1 "Frober E1 Vol First 64 trials"
"11" 63 0 "Frober E1 Vol First 64 trials"
"12" 2 1 "Frober E1 Vol First 64 trials"
"12" 3 0 "Frober E1 Vol First 64 trials"
"12" 5 1 "Frober E1 Vol First 64 trials"
"12" 6 0 "Frober E1 Vol First 64 trials"
"12" 7 0 "Frober E1 Vol First 64 trials"
"12" 8 1 "Frober E1 Vol First 64 trials"
"12" 10 0 "Frober E1 Vol First 64 trials"
"12" 12 0 "Frober E1 Vol First 64 trials"
"12" 13 1 "Frober E1 Vol First 64 trials"
"12" 14 0 "Frober E1 Vol First 64 trials"
"12" 15 0 "Frober E1 Vol First 64 trials"
"12" 16 0 "Frober E1 Vol First 64 trials"
"12" 17 1 "Frober E1 Vol First 64 trials"
"12" 18 0 "Frober E1 Vol First 64 trials"
"12" 19 1 "Frober E1 Vol First 64 trials"
"12" 20 0 "Frober E1 Vol First 64 trials"
"12" 21 0 "Frober E1 Vol First 64 trials"
"12" 23 0 "Frober E1 Vol First 64 trials"
"12" 25 0 "Frober E1 Vol First 64 trials"
"12" 26 0 "Frober E1 Vol First 64 trials"
"12" 27 0 "Frober E1 Vol First 64 trials"
"12" 28 1 "Frober E1 Vol First 64 trials"
"12" 29 0 "Frober E1 Vol First 64 trials"
"12" 30 0 "Frober E1 Vol First 64 trials"
"12" 32 0 "Frober E1 Vol First 64 trials"
"12" 34 0 "Frober E1 Vol First 64 trials"
"12" 35 1 "Frober E1 Vol First 64 trials"
"12" 36 1 "Frober E1 Vol First 64 trials"
"12" 37 1 "Frober E1 Vol First 64 trials"
"12" 38 0 "Frober E1 Vol First 64 trials"
"12" 40 0 "Frober E1 Vol First 64 trials"
"12" 41 1 "Frober E1 Vol First 64 trials"
"12" 42 1 "Frober E1 Vol First 64 trials"
"12" 43 0 "Frober E1 Vol First 64 trials"
"12" 44 1 "Frober E1 Vol First 64 trials"
"12" 45 1 "Frober E1 Vol First 64 trials"
"12" 46 0 "Frober E1 Vol First 64 trials"
"12" 47 1 "Frober E1 Vol First 64 trials"
"12" 48 1 "Frober E1 Vol First 64 trials"
"12" 50 0 "Frober E1 Vol First 64 trials"
"12" 51 0 "Frober E1 Vol First 64 trials"
"12" 52 0 "Frober E1 Vol First 64 trials"
"12" 53 0 "Frober E1 Vol First 64 trials"
"12" 54 0 "Frober E1 Vol First 64 trials"
"12" 55 0 "Frober E1 Vol First 64 trials"
"12" 57 0 "Frober E1 Vol First 64 trials"
"12" 58 0 "Frober E1 Vol First 64 trials"
"12" 61 0 "Frober E1 Vol First 64 trials"
"12" 62 0 "Frober E1 Vol First 64 trials"
