"subj" "trialCumul" "sr" "exp"
"231" 2 0 "Imburgio first 64"
"231" 3 0 "Imburgio first 64"
"231" 4 1 "Imburgio first 64"
"231" 5 0 "Imburgio first 64"
"231" 6 1 "Imburgio first 64"
"231" 7 1 "Imburgio first 64"
"231" 8 1 "Imburgio first 64"
"231" 9 0 "Imburgio first 64"
"231" 10 1 "Imburgio first 64"
"231" 11 1 "Imburgio first 64"
"231" 12 1 "Imburgio first 64"
"231" 13 1 "Imburgio first 64"
"231" 14 0 "Imburgio first 64"
"231" 15 0 "Imburgio first 64"
"231" 16 1 "Imburgio first 64"
"231" 17 0 "Imburgio first 64"
"231" 18 1 "Imburgio first 64"
"231" 19 1 "Imburgio first 64"
"231" 20 1 "Imburgio first 64"
"231" 21 1 "Imburgio first 64"
"231" 22 1 "Imburgio first 64"
"231" 23 0 "Imburgio first 64"
"231" 24 1 "Imburgio first 64"
"231" 25 0 "Imburgio first 64"
"231" 26 1 "Imburgio first 64"
"231" 27 0 "Imburgio first 64"
"231" 28 1 "Imburgio first 64"
"231" 29 1 "Imburgio first 64"
"231" 30 1 "Imburgio first 64"
"231" 31 1 "Imburgio first 64"
"231" 32 1 "Imburgio first 64"
"231" 33 0 "Imburgio first 64"
"231" 34 0 "Imburgio first 64"
"231" 35 1 "Imburgio first 64"
"231" 36 0 "Imburgio first 64"
"231" 37 0 "Imburgio first 64"
"231" 38 1 "Imburgio first 64"
"231" 39 0 "Imburgio first 64"
"231" 40 1 "Imburgio first 64"
"231" 41 1 "Imburgio first 64"
"231" 42 1 "Imburgio first 64"
"231" 43 1 "Imburgio first 64"
"231" 44 0 "Imburgio first 64"
"231" 45 1 "Imburgio first 64"
"231" 46 0 "Imburgio first 64"
"231" 47 0 "Imburgio first 64"
"231" 48 1 "Imburgio first 64"
"231" 49 0 "Imburgio first 64"
"231" 50 1 "Imburgio first 64"
"231" 51 1 "Imburgio first 64"
"231" 52 1 "Imburgio first 64"
"231" 53 1 "Imburgio first 64"
"231" 54 1 "Imburgio first 64"
"231" 55 1 "Imburgio first 64"
"231" 56 1 "Imburgio first 64"
"231" 57 0 "Imburgio first 64"
"231" 58 1 "Imburgio first 64"
"231" 59 0 "Imburgio first 64"
"231" 60 1 "Imburgio first 64"
"231" 61 0 "Imburgio first 64"
"231" 62 0 "Imburgio first 64"
"231" 63 1 "Imburgio first 64"
"231" 64 0 "Imburgio first 64"
"229" 2 1 "Imburgio first 64"
"229" 3 1 "Imburgio first 64"
"229" 4 1 "Imburgio first 64"
"229" 5 0 "Imburgio first 64"
"229" 6 1 "Imburgio first 64"
"229" 7 0 "Imburgio first 64"
"229" 8 1 "Imburgio first 64"
"229" 9 0 "Imburgio first 64"
"229" 10 0 "Imburgio first 64"
"229" 11 1 "Imburgio first 64"
"229" 12 0 "Imburgio first 64"
"229" 13 1 "Imburgio first 64"
"229" 14 0 "Imburgio first 64"
"229" 15 1 "Imburgio first 64"
"229" 16 1 "Imburgio first 64"
"229" 17 0 "Imburgio first 64"
"229" 18 1 "Imburgio first 64"
"229" 19 0 "Imburgio first 64"
"229" 20 1 "Imburgio first 64"
"229" 21 0 "Imburgio first 64"
"229" 22 1 "Imburgio first 64"
"229" 23 0 "Imburgio first 64"
"229" 24 1 "Imburgio first 64"
"229" 25 0 "Imburgio first 64"
"229" 26 0 "Imburgio first 64"
"229" 27 1 "Imburgio first 64"
"229" 28 0 "Imburgio first 64"
"229" 29 1 "Imburgio first 64"
"229" 30 0 "Imburgio first 64"
"229" 31 1 "Imburgio first 64"
"229" 32 0 "Imburgio first 64"
"229" 33 1 "Imburgio first 64"
"229" 34 0 "Imburgio first 64"
"229" 35 1 "Imburgio first 64"
"229" 36 0 "Imburgio first 64"
"229" 37 1 "Imburgio first 64"
"229" 38 0 "Imburgio first 64"
"229" 39 1 "Imburgio first 64"
"229" 40 0 "Imburgio first 64"
"229" 41 1 "Imburgio first 64"
"229" 42 0 "Imburgio first 64"
"229" 43 1 "Imburgio first 64"
"229" 44 1 "Imburgio first 64"
"229" 45 0 "Imburgio first 64"
"229" 46 0 "Imburgio first 64"
"229" 47 1 "Imburgio first 64"
"229" 48 0 "Imburgio first 64"
"229" 49 1 "Imburgio first 64"
"229" 50 1 "Imburgio first 64"
"229" 51 0 "Imburgio first 64"
"229" 52 1 "Imburgio first 64"
"229" 53 0 "Imburgio first 64"
"229" 54 1 "Imburgio first 64"
"229" 55 0 "Imburgio first 64"
"229" 56 1 "Imburgio first 64"
"229" 58 1 "Imburgio first 64"
"229" 59 1 "Imburgio first 64"
"229" 60 1 "Imburgio first 64"
"229" 61 1 "Imburgio first 64"
"229" 62 0 "Imburgio first 64"
"229" 63 1 "Imburgio first 64"
"229" 64 0 "Imburgio first 64"
"227" 2 1 "Imburgio first 64"
"227" 3 1 "Imburgio first 64"
"227" 4 1 "Imburgio first 64"
"227" 5 0 "Imburgio first 64"
"227" 7 1 "Imburgio first 64"
"227" 8 0 "Imburgio first 64"
"227" 9 1 "Imburgio first 64"
"227" 10 0 "Imburgio first 64"
"227" 11 1 "Imburgio first 64"
"227" 12 0 "Imburgio first 64"
"227" 13 1 "Imburgio first 64"
"227" 14 0 "Imburgio first 64"
"227" 16 1 "Imburgio first 64"
"227" 17 0 "Imburgio first 64"
"227" 18 1 "Imburgio first 64"
"227" 19 0 "Imburgio first 64"
"227" 20 1 "Imburgio first 64"
"227" 21 0 "Imburgio first 64"
"227" 22 0 "Imburgio first 64"
"227" 23 1 "Imburgio first 64"
"227" 24 0 "Imburgio first 64"
"227" 25 1 "Imburgio first 64"
"227" 26 0 "Imburgio first 64"
"227" 27 1 "Imburgio first 64"
"227" 28 0 "Imburgio first 64"
"227" 29 1 "Imburgio first 64"
"227" 30 0 "Imburgio first 64"
"227" 31 1 "Imburgio first 64"
"227" 32 0 "Imburgio first 64"
"227" 33 0 "Imburgio first 64"
"227" 34 1 "Imburgio first 64"
"227" 35 0 "Imburgio first 64"
"227" 36 1 "Imburgio first 64"
"227" 37 1 "Imburgio first 64"
"227" 38 0 "Imburgio first 64"
"227" 39 0 "Imburgio first 64"
"227" 40 0 "Imburgio first 64"
"227" 41 1 "Imburgio first 64"
"227" 42 0 "Imburgio first 64"
"227" 43 1 "Imburgio first 64"
"227" 44 1 "Imburgio first 64"
"227" 45 1 "Imburgio first 64"
"227" 46 1 "Imburgio first 64"
"227" 47 1 "Imburgio first 64"
"227" 48 0 "Imburgio first 64"
"227" 49 1 "Imburgio first 64"
"227" 50 0 "Imburgio first 64"
"227" 51 0 "Imburgio first 64"
"227" 52 1 "Imburgio first 64"
"227" 53 0 "Imburgio first 64"
"227" 54 0 "Imburgio first 64"
"227" 55 0 "Imburgio first 64"
"227" 56 1 "Imburgio first 64"
"227" 57 0 "Imburgio first 64"
"227" 59 0 "Imburgio first 64"
"227" 60 0 "Imburgio first 64"
"227" 61 1 "Imburgio first 64"
"227" 62 0 "Imburgio first 64"
"227" 63 0 "Imburgio first 64"
"227" 64 1 "Imburgio first 64"
"225" 2 0 "Imburgio first 64"
"225" 3 1 "Imburgio first 64"
"225" 4 0 "Imburgio first 64"
"225" 5 1 "Imburgio first 64"
"225" 6 1 "Imburgio first 64"
"225" 7 1 "Imburgio first 64"
"225" 8 1 "Imburgio first 64"
"225" 9 1 "Imburgio first 64"
"225" 10 1 "Imburgio first 64"
"225" 11 1 "Imburgio first 64"
"225" 12 0 "Imburgio first 64"
"225" 13 1 "Imburgio first 64"
"225" 14 0 "Imburgio first 64"
"225" 15 1 "Imburgio first 64"
"225" 16 0 "Imburgio first 64"
"225" 17 1 "Imburgio first 64"
"225" 18 0 "Imburgio first 64"
"225" 19 0 "Imburgio first 64"
"225" 20 1 "Imburgio first 64"
"225" 21 0 "Imburgio first 64"
"225" 22 0 "Imburgio first 64"
"225" 23 1 "Imburgio first 64"
"225" 24 1 "Imburgio first 64"
"225" 25 1 "Imburgio first 64"
"225" 26 1 "Imburgio first 64"
"225" 27 0 "Imburgio first 64"
"225" 28 1 "Imburgio first 64"
"225" 29 1 "Imburgio first 64"
